Samples	Location
PM0001-C	Kolle
PM0003-C	Kolle
PM0004-C	Kolle
PM0005-C	Kolle
PM0006-C	Kolle
PM0007-C	Kolle
PM0008-C	Faladje
PM0009-C	Faladje
PM0014-C	Faladje
PM0015-C	Faladje
PM0017-C	Faladje
PM0020-C	Faladje
PM0021-C	Faladje
PM0022-C	Faladje
PM0023-C	Faladje
PM0026-C	Faladje
PM0033-C	Kolle
PM0034-C	Kolle
PM0037-C	Kolle
PM0038-C	Kolle
PM0039-C	Kolle
PM0040-C	Kolle
PM0042-C	Kolle
PM0047-C	Kolle
PM0048-C	Kolle
PM0049-C	Kolle
PM0051-C	Kolle
PM0054-C	Kolle
PM0058-C	Kolle
PM0062-C	Kolle
PM0063-C	Kolle
PM0064-C	Kolle
PM0068-C	Kolle
PM0071-C	Kolle
PM0072-C	Kolle
PM0073-C	Kolle
PM0074-C	Kolle
PM0075-C	Kolle
PM0076-C	Kolle
PM0077-C	Kolle
PM0078-C	Kolle
PM0083-C	Kolle
PM0084-C	Kolle
PM0085-C	Kolle
PM0086-C	Kolle
PM0087-C	Kolle
PM0089-C	Kolle
PM0090-C	Kolle
PM0093-C	Kolle
PM0094-C	Kolle
PM0096-C	Kolle
PM0097-C	Kolle
PM0098-C	Kolle
PM0100-C	Kolle
PM0103-C	Faladje
PM0113-C	Faladje
PM0114-C	Faladje
PM0115-C	Faladje
PM0117-C	Faladje
PM0123-C	Faladje
PM0124-C	Faladje
PM0127-C	Faladje
PM0129-C	Faladje
PM0132-C	Faladje
PM0133-C	Faladje
PM0134-C	Faladje
PM0136-C	Faladje
PM0138-C	Faladje
PM0139-C	Faladje
PM0142-C	Faladje
PM0144-C	Faladje
PM0145-C	Faladje
PM0146-C	Faladje
PM0147-C	Faladje
PM0182-C	Faladje
PM0183-C	Faladje
PM0184-C	Faladje
PM0185-C	Faladje
PM0186-C	Faladje
PM0187-C	Faladje
PM0188-C	Faladje
PM0190-C	Faladje
PM0191-C	Faladje
PM0192-C	Faladje
PM0193-C	Faladje
PM0194-C	Faladje
PM0195-C	Faladje
PM0196-C	Faladje
PM0197-C	Faladje
PM0198-C	Faladje
PM0199-C	Faladje
PM0200-C	Faladje
PM0201-C	Faladje
PM0202-C	Faladje
PM0203-C	Faladje
PM0204-C	Faladje
PM0205-C	Faladje
PM0206-C	Faladje
PM0207-C	Faladje
PM0208-C	Faladje
PM0209-C	Faladje
PM0211-C	Faladje
PM0212-C	Faladje
PM0213-C	Faladje
PM0214-C	Faladje
PM0215-C	Faladje
PM0216-C	Faladje
PM0217-C	Faladje
PM0218-C	Faladje
PM0219-C	Faladje
PM0220-C	Faladje
PM0221-C	Faladje
PM0222-C	Faladje
PM0223-C	Faladje
PM0224-C	Faladje
PM0227-C	Faladje
PM0229-C	Faladje
PM0230-C	Faladje
PM0231-C	Faladje
PM0232-C	Faladje
PM0233-C	Faladje
PM0234-C	Faladje
PM0235-C	Faladje
PM0236-C	Faladje
PM0237-C	Faladje
PM0238-C	Faladje
PM0240-C	Faladje
PM0241-C	Faladje
PM0242-C	Faladje
PM0243-C	Faladje
PM0244-C	Faladje
PM0246-C	Faladje
PM0247-C	Faladje
PM0248-C	Faladje
PM0249-C	Faladje
PM0250-C	Faladje
PM0251-C	Faladje
PM0252-C	Faladje
PM0253-C	Faladje
PM0254-C	Faladje
PM0255-C	Faladje
PM0256-C	Faladje
PM0257-C	Faladje
PM0258-C	Faladje
PM0259-C	Faladje
PM0260-C	Faladje
PM0261-C	Faladje
PM0262-C	Faladje
PM0263-C	Faladje
PM0264-C	Faladje
PM0265-C	Faladje
PM0266-C	Faladje
PM0267-C	Faladje
PM0268-C	Faladje
PM0269-C	Faladje
PM0270-C	Faladje
PM0271-C	Faladje
PM0272-C	Faladje
PM0273-C	Faladje
PM0274-C	Faladje
PM0275-C	Faladje
PM0276-C	Faladje
PM0277-C	Faladje
PM0278-C	Faladje
PM0279-C	Faladje
PM0280-C	Faladje
PM0281-C	Faladje
PM0282-C	Faladje
PM0283-C	Faladje
PM0287-C	Faladje
PM0290-C	Faladje
PM0291-C	Faladje
PM0293-C	Faladje
PM0295-C	Faladje
PM0296-C	Faladje
PM0297-C	Faladje
PM0299-C	Faladje
PM0300-C	Faladje
PM0301-C	Faladje
PM0302-C	Faladje
PM0303-C	Faladje
PM0305-C	Faladje
PM0306-C	Faladje
PM0307-C	Faladje
PM0308-C	Faladje
PM0309-C	Faladje
PM0310-C	Faladje
PM0311-C	Faladje
PM0312-C	Faladje
PM0313-C	Faladje
PM0314-C	Faladje
PM0315-C	Faladje
PM0316-C	Faladje
PM0317-C	Faladje
PM0318-C	Faladje
PM0319-C	Faladje
PM0320-C	Faladje
PM0321-C	Faladje
PM0322-C	Faladje
PM0323-C	Faladje
PM0324-C	Faladje
PM0325-C	Faladje
PM0326-C	Bamako
PM0327-C	Bamako
PM0328-C	Bamako
PM0331-C	Bamako
PM0332-C	Bamako
PM0333-C	Bamako
PM0334-C	Bamako
PM0335-C	Bamako
PM0336-C	Bamako
PM0338-C	Bamako
PM0339-C	Bamako
PM0340-C	Bamako
PM0341-C	Bamako
PM0342-C	Bamako
PM0343-C	Bamako
PM0344-C	Bamako
PM0345-C	Bamako
PM0346-C	Bamako
PM0347-C	Bamako
PM0349-C	Bamako
PM0350-C	Bamako
PM0351-C	Bamako
PM0352-C	Bamako
PM0355-C	Bamako
PM0356-C	Bamako
PM0357-C	Bamako
PM0358-C	Bamako
PM0359-C	Bamako
PM0360-C	Bamako
PM0361-C	Bamako
PM0363-C	Bamako
PM0364-C	Bamako
PM0365-C	Bamako
PM0366-C	Bamako
PM0367-C	Bamako
PM0368-C	Bamako
PM0369-C	Bamako
PM0370-C	Bamako
PM0372-C	Bamako
PM0374-C	Bamako
PM0375-C	Bamako
PM0377-C	Bamako
PM0378-C	Bamako
PM0379-C	Bamako
PM0380-C	Bamako
PM0381-C	Bamako
PM0382-C	Bamako
PM0383-C	Bamako
PM0384-C	Bamako
PM0385-C	Bamako
PM0386-C	Bamako
PM0387-C	Bamako
PM0390-C	Bamako
PM0391-C	Bamako
PM0392-C	Bamako
PM0393-C	Bamako
PM0394-C	Bamako
PM0395-C	Bamako
PM0396-C	Bamako
PM0397-C	Bamako
PM0398-C	Bamako
PM0399-C	Bamako
PM0400-C	Bamako
PM0403-C	Bamako
PM0405-C	Bamako
PM0406-C	Bamako
PM0408-C	Bamako
PM0410-C	Bamako
PM0411-C	Bamako
PM0412-C	Bamako
PM0413-C	Bamako
PM0414-C	Bamako
PM0415-C	Bamako
PM0416-C	Bamako
PM0417-C	Bamako
PM0418-C	Bamako
PM0419-C	Bamako
PM0420-C	Bamako
PM0421-C	Bamako
PM0422-C	Bamako
PM0423-C	Bamako
PM0424-C	Bamako
PM0425-C	Bamako
PM0426-C	Bamako
PM0427-C	Bamako
PM0428-C	Bamako
PM0429-C	Bamako
PM0432-C	Bamako
PM0433-C	Bamako
PM0434-C	Bamako
PM0435-C	Bamako
PM0436-C	Bamako
PM0437-C	Bamako
PM0438-C	Bamako
PM0440-C	Bamako
PM0441-C	Bamako
PM0442-C	Bamako
PM0444-C	Bamako
PM0445-C	Bamako
PM0446-C	Bamako
PM0447-C	Bamako
PM0448-C	Bamako
PM0449-C	Bamako
PM0451-C	Bamako
PM0452-C	Bamako
PM0453-C	Bamako
PM0454-C	Bamako
PM0455-C	Bamako
PM0456-C	Bamako
PM0457-C	Bamako
PM0458-C	Bamako
PM0459-C	Bamako
PM0460-C	Bamako
PM0461-C	Bamako
PM0463-C	Bamako
PM0464-C	Bamako
PM0466-C	Bamako
PM0467-C	Bamako
PM0468-C	Bamako
PM0469-C	Bamako
PM0470-C	Bamako
PM0471-C	Bamako
