Samples	Fws	Locations	COI
PM0326-C	0.658089054	Bamako	2
PM0327-C	0.977998449	Bamako	1
PM0328-C	0.978992592	Bamako	1
PM0331-C	0.990656955	Bamako	1
PM0332-C	0.685371131	Bamako	2
PM0333-C	0.992491274	Bamako	1
PM0334-C	0.463980104	Bamako	2
PM0335-C	0.996611067	Bamako	1
PM0336-C	0.941588871	Bamako	2
PM0338-C	0.789017822	Bamako	2
PM0339-C	0.617046964	Bamako	2
PM0340-C	0.996800839	Bamako	1
PM0341-C	0.996018944	Bamako	1
PM0342-C	0.996919911	Bamako	1
PM0343-C	0.581674464	Bamako	2
PM0344-C	0.586140161	Bamako	2
PM0345-C	0.683608952	Bamako	2
PM0346-C	0.99752576	Bamako	1
PM0347-C	0.375066821	Bamako	2
PM0349-C	0.847609236	Bamako	2
PM0350-C	0.996596045	Bamako	1
PM0351-C	0.726676212	Bamako	2
PM0352-C	0.731802773	Bamako	2
PM0355-C	0.571064157	Bamako	2
PM0356-C	0.621345458	Bamako	2
PM0357-C	0.99558008	Bamako	1
PM0358-C	0.997890108	Bamako	1
PM0359-C	0.997915958	Bamako	1
PM0360-C	0.323932648	Bamako	2
PM0361-C	0.70893637	Bamako	2
PM0363-C	0.990637429	Bamako	1
PM0364-C	0.997694529	Bamako	1
PM0365-C	0.997234802	Bamako	1
PM0366-C	0.572015808	Bamako	2
PM0367-C	0.997573479	Bamako	1
PM0368-C	0.995950111	Bamako	1
PM0369-C	0.720252645	Bamako	2
PM0370-C	0.890530353	Bamako	2
PM0372-C	0.998595045	Bamako	1
PM0374-C	0.997770752	Bamako	1
PM0375-C	0.998590882	Bamako	1
PM0377-C	0.993194716	Bamako	1
PM0378-C	0.997449805	Bamako	1
PM0379-C	0.997809673	Bamako	1
PM0380-C	0.383310548	Bamako	2
PM0381-C	0.996771711	Bamako	1
PM0382-C	0.998140589	Bamako	1
PM0383-C	0.577221308	Bamako	2
PM0384-C	0.56835555	Bamako	2
PM0385-C	0.997351404	Bamako	1
PM0386-C	0.558647336	Bamako	2
PM0387-C	0.671149941	Bamako	2
PM0390-C	0.621715676	Bamako	2
PM0391-C	0.592323878	Bamako	2
PM0392-C	0.973729574	Bamako	1
PM0393-C	0.996833136	Bamako	1
PM0394-C	0.629462285	Bamako	2
PM0395-C	0.997854879	Bamako	1
PM0396-C	0.444974877	Bamako	2
PM0397-C	0.98996108	Bamako	1
PM0398-C	0.997205539	Bamako	1
PM0399-C	0.645790807	Bamako	2
PM0400-C	0.99644264	Bamako	1
PM0403-C	0.996589943	Bamako	1
PM0405-C	0.657479208	Bamako	2
PM0406-C	0.785284536	Bamako	2
PM0408-C	0.880715861	Bamako	2
PM0410-C	0.512399427	Bamako	2
PM0411-C	0.993113821	Bamako	1
PM0412-C	0.996211706	Bamako	1
PM0413-C	0.652083102	Bamako	2
PM0414-C	0.997239527	Bamako	1
PM0415-C	0.99338935	Bamako	1
PM0416-C	0.737061458	Bamako	2
PM0417-C	0.593767952	Bamako	2
PM0418-C	0.997523972	Bamako	1
PM0419-C	0.360897563	Bamako	2
PM0420-C	0.992631864	Bamako	1
PM0421-C	0.377375514	Bamako	2
PM0422-C	0.996700076	Bamako	1
PM0423-C	0.994365518	Bamako	1
PM0424-C	0.998121378	Bamako	1
PM0425-C	0.997935596	Bamako	1
PM0426-C	0.934153515	Bamako	2
PM0427-C	0.79171841	Bamako	2
PM0428-C	0.998235734	Bamako	1
PM0429-C	0.997469615	Bamako	1
PM0432-C	0.996087942	Bamako	1
PM0433-C	0.678086437	Bamako	2
PM0434-C	0.721983226	Bamako	2
PM0435-C	0.99822532	Bamako	1
PM0436-C	0.726655201	Bamako	2
PM0437-C	0.996109944	Bamako	1
