Taxa	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
PM0001-C	0.004752075	-0.0017692655	0.0023748593	0.0032843014	-7.49452E-5	-0.0059393067	3.545997E-4	-0.011071945	0.0031398707	0.0065387166
PM0002-C	0.004006722	-0.00176857	-4.391834E-4	0.004307822	-0.0023302473	0.0013396778	0.005922878	-0.0091336705	-8.846154E-4	0.009752283
PM0003-C	0.0024647508	-0.0029048654	-0.003511254	-0.0027617256	-0.003300173	0.0040592	-0.0048403675	-0.0025399686	-0.0037068299	-0.0067898394
PM0004-C	0.0045343507	-0.004539085	0.0074858326	0.016779976	-0.008639958	0.0019048536	0.0068016485	0.0092716655	0.006432207	-0.016361477
PM0005-C	-0.0020148542	-0.009259696	-0.006930557	2.3227875E-4	0.0018231631	0.012414136	-0.0032411264	-0.0018847722	-0.005994964	-0.012574646
PM0006-C	4.9031444E-4	-8.18334E-4	0.0024008837	-0.0016889569	-0.0039887354	0.009096651	-0.0013734122	0.0041140066	5.4108154E-4	-6.169345E-4
PM0007-C	0.0014621994	-0.004185048	3.8607107E-4	-0.004699998	-0.00732867	0.0014966403	0.002233021	0.002962673	0.0025095157	0.0019385802
PM0008-C	-0.003023402	0.0048620105	0.015115687	-0.009069174	-0.0062752054	-0.002904402	-0.014337447	0.011917614	-5.333087E-4	0.0065477905
PM0009-C	0.0055658934	-0.007216225	-0.0067953076	0.009405164	0.003154567	-0.001991649	7.4808724E-4	-0.005131122	0.0075253975	0.0076720645
PM0014-C	0.004786152	-0.004698279	0.0010610848	-0.0014879409	0.003231718	0.0035411364	0.007251519	-0.005458918	-0.0060069184	0.012127794
PM0015-C	-4.180874E-4	-0.014112273	-0.004494052	0.0023060262	-0.0012033477	-8.7282615E-4	-0.007980917	-0.010348186	0.012320727	0.0036943012
PM0017-C	0.004857839	-0.0048127254	6.8034096E-5	0.009173299	-0.018136192	-0.0051890826	-0.0024014986	0.00681269	0.0021153032	-0.001854353
PM0018-C	0.0035200778	6.905204E-4	-0.0024520506	0.010834112	7.7003846E-4	-0.0070425854	0.00892458	-0.0042099883	-0.0041840756	0.0021580514
PM0019-C	0.0030514118	0.008871067	0.0028163034	-0.0036403348	-0.0050234026	0.0050882264	0.003549578	0.0066945786	0.0094516035	2.7388145E-4
PM0020-C	-0.0075525288	0.0047195074	0.007780722	-0.0020626567	-0.0039010574	0.020095887	-0.0020806834	-0.0029341807	0.009277968	9.3038287E-4
PM0021-C	0.01680771	0.01189582	-0.00155704	-0.013754648	-0.011342927	-0.009105471	0.006398347	0.0028441674	0.013704961	1.6672198E-4
PM0022-C	-0.0054775635	-8.772581E-5	0.009121169	0.004043386	0.0056286766	-0.009832183	-0.0049752323	-0.0017258286	0.006409149	-0.0043347063
PM0023-C	0.012180252	-0.00901974	0.0017921121	0.017686354	-0.0067077503	-0.02016434	-2.9731303E-4	-0.004393502	-0.002220594	0.0043650083
PM0024-C	0.0018563207	-0.0046566464	0.0040025627	0.008464471	-0.007428413	-0.015884638	0.004369986	-0.0036651564	5.5252505E-4	0.0045658
PM0025-C	-0.011455545	3.7838213E-4	-9.275873E-4	0.0020165339	-0.0034295733	3.7583915E-4	-0.007841393	-0.0073852357	0.004648906	-0.0019750772
PM0026-C	-0.0053130384	-0.0047428804	4.6180288E-4	0.0019664255	0.0047185477	0.0030382916	9.741347E-4	-8.383264E-4	-7.7957055E-4	0.005334722
PM0029-C	0.009718405	-0.0013472231	0.0023421028	-6.418621E-4	-4.030784E-4	-0.0068065566	0.0028131153	0.0070589324	-0.0024837987	-0.007292274
PM0033-C	-0.0027865951	6.9197087E-4	0.01321272	-0.0060022357	0.0023243527	0.006483762	0.003713045	0.002868241	0.0075241197	0.0096007325
PM0034-C	0.004000166	-5.4915913E-4	-0.0027036064	0.004310098	8.463736E-4	7.7093625E-4	0.0015420316	-0.011629169	0.003203672	-0.006192289
PM0036-C	0.0014955788	-0.0027569565	0.003198452	-0.00535698	0.0029945574	-0.0032139078	0.0031740607	0.0022298975	0.007837426	8.8351214E-4
PM0037-C	0.004177967	-0.010855274	-0.015165901	-0.0067882175	-0.008415485	0.011845238	0.0043489435	-0.012888358	-0.008256422	-0.015167038
PM0038-C	0.0023062183	0.0011450981	0.004295327	0.0021916844	0.0039205546	0.0028043878	0.005952196	0.003588556	-0.002389967	-6.2630186E-4
PM0039-C	0.004276387	-4.003775E-4	-0.0068345624	0.00888126	0.0034570175	0.0021110382	0.008201698	0.0059187342	-0.0063742492	0.0015524817
PM0040-C	0.0025673918	0.0016062008	0.003769981	0.006985449	-0.013685523	-0.0049505965	0.0117363455	-0.0031307163	0.0035780475	0.004129663
PM0042-C	-0.0024239512	0.014360134	0.0028838962	-0.004304526	-0.013361893	-0.005519442	0.0019744174	0.0023265197	-0.0077531827	-0.015658898
PM0043-C	0.0045984006	0.0010116572	0.009506775	-6.331523E-4	-0.003996984	0.0035101546	-6.2931475E-5	-0.0010592919	0.0021207174	-3.455496E-4
PM0047-C	0.0015129792	0.0054696896	0.009483372	0.0032900835	0.00587314	0.0059139132	0.0060848366	0.008340421	0.013651628	0.003968418
PM0048-C	-0.006825376	4.8354178E-4	-0.0030416816	-0.0012911357	0.002425693	-0.0015840854	0.0063715354	0.0040539233	-0.0026986946	0.004897305
PM0049-C	0.011050023	0.004373046	0.0010631735	-0.002557538	0.0053117513	0.0017345366	0.01361257	-0.009866941	0.008795382	-0.0025246048
PM0051-C	0.010167435	-0.010475265	0.0018410699	-0.0042107473	0.0012433283	0.00796253	5.9809047E-4	0.0015179244	-0.0011735227	-0.0031251428
PM0054-C	-0.009240006	-0.0076616937	-1.6653894E-5	0.0045890016	0.0011135887	0.002464531	-0.0054353015	-0.006615696	0.005507479	-0.0013683805
PM0058-C	0.0038773052	2.446081E-4	-0.006206199	-0.002034496	0.0022199785	-0.0042834687	9.672783E-4	4.1266088E-4	-0.0023903856	0.0015134407
PM0060-C	-0.001622421	-0.010386092	-0.005158994	-0.013179125	-0.0023622196	5.474676E-4	-0.0061832904	-0.0012781103	0.003726356	-0.0042592897
PM0062-C	0.008943434	0.0017916146	-0.018022776	0.0022722804	0.010812967	-0.009569051	0.0017782948	-0.00911298	6.293572E-4	-9.756631E-5
PM0063-C	0.009292232	1.2372505E-4	3.3811215E-4	0.016511085	-0.010108541	0.016260508	0.012814033	-0.009929077	2.4541822E-4	0.0034498575
PM0064-C	-6.065482E-5	-0.0027294003	-0.0058940044	0.0019209886	0.004283231	-0.004469655	-0.00936456	8.470202E-4	0.0059572835	0.0066758213
PM0068-C	0.0050301347	8.948726E-4	0.0030688157	-0.002854045	0.0038264804	0.0032029757	0.004989969	0.01051959	-0.009932424	-0.004004011
PM0070-C	-0.002049927	-0.0034842177	-0.0043186066	-0.0047599226	-0.0015559298	0.0018144842	-0.009456597	0.0049360073	0.009168991	0.005041547
PM0071-C	0.003725882	6.9286267E-4	0.007092039	1.2880233E-4	-0.0039555538	-5.2457565E-4	-0.010579862	-0.010972324	0.0032143202	0.0053838617
PM0072-C	1.3546017E-4	1.2686159E-4	0.0015071648	0.004856955	0.0029440464	-0.0024379913	-0.0019048459	-8.696274E-4	0.0018410522	0.014426556
PM0073-C	0.0010132559	0.0035396274	-0.0027793131	6.898376E-4	-0.0017630876	-0.004543469	0.0026418602	-0.0016341169	-0.0034513667	-9.894568E-4
PM0074-C	-0.0073997458	-0.008625223	-0.0038999051	-0.004724887	-0.0049653426	-0.0015785128	0.003850982	-0.006192331	0.006582366	-0.008743472
PM0075-C	-3.8104682E-4	0.009167899	0.0019974015	-0.0028130703	0.008005393	-2.7287926E-4	-0.003966436	0.0073081064	-0.004849326	0.0023459557
PM0076-C	-0.003775461	-0.001571957	0.00822664	-9.418718E-4	0.003045967	-0.0047914153	-0.0065385904	0.0063389805	-0.0034477822	0.0012014143
PM0077-C	-4.235451E-4	-0.0019627074	0.006839515	0.0022937916	-0.0035168752	-0.001741332	0.0063915714	-0.0069417125	-0.0032194837	-0.0030153298
PM0078-C	6.529454E-4	2.4049348E-4	-1.722337E-4	0.0010540186	-5.9542886E-4	3.4488217E-4	-0.0018674212	0.0029620784	-0.009763471	0.0041147987
