Taxa	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
PM0001-C	-0.47294208	0.24546832	0.45152515	-0.4017267	0.089086704	-0.15463592	1.1805127	-0.7282861	0.12743205	-0.48060128
PM0002-C	-0.30312237	0.32653487	0.22982886	-0.57504743	0.06602794	0.10282179	1.1427392	0.00239625	-0.11648885	0.2489375
PM0003-C	-0.548843	0.5114247	-0.17044564	0.18093432	-0.22911452	0.4639606	0.51326644	1.0261096	0.79805315	-0.20350105
PM0004-C	-0.59398514	-0.2012396	0.93389124	-1.8174051	0.44522247	-0.1680076	-0.15314507	1.9897859	-0.610463	-0.63923436
PM0005-C	-1.2298738	0.110086985	-0.66878736	-0.015196975	0.890997	0.7865469	0.026604855	0.9827546	1.6898344	0.24396624
PM0006-C	-0.089112915	-0.03376377	0.28161645	0.21635808	-0.22690594	0.91066235	0.012060185	0.17879601	0.27555546	-0.13686675
PM0007-C	-0.6218679	0.014663152	0.2106581	-0.37862515	-1.009683	0.30472413	0.6940055	0.96123046	0.09056212	0.61154854
PM0008-C	0.14900471	-0.45212987	0.94308317	0.12537363	-1.1810334	-0.24568535	-1.161018	-0.1570224	-0.013173517	0.7467065
PM0009-C	-0.6100846	0.615897	-0.24763782	-0.5809399	0.72252864	-0.11958308	0.36079434	0.17783773	-0.19155355	-4.8405546E-4
PM0014-C	-0.6223996	0.3093246	0.22061425	0.26346785	-0.079392195	0.42378908	1.1238021	-0.02698994	-0.054871354	0.19341706
PM0015-C	-1.2098966	0.27306885	-1.0225283	0.03278296	0.19020547	-0.10881428	0.40609664	0.28837222	-1.0432179	-1.5941992
PM0017-C	-0.4581438	0.6721548	0.0783696	-1.657358	-0.642585	0.4252435	-0.55347264	0.7430863	-0.5599159	-1.1875646
PM0018-C	-0.032747604	0.2752207	0.14029638	-0.95088094	0.65231425	-0.16748163	1.2429669	0.58877724	0.22326168	0.5182743
PM0019-C	0.41164085	-0.02988086	0.38972914	-0.11448967	-0.6635337	1.1453097	0.1342499	0.49974588	-0.6315352	0.09360961
PM0020-C	0.34452924	-1.3185948	-0.026220268	0.59160805	0.1499479	2.0339215	-0.2948726	0.31987387	-0.8673733	-0.54442286
PM0021-C	1.0032506	2.1431692	1.0190594	0.33133033	-1.6922928	-0.5501815	-0.2686779	-0.34522516	-1.7424395	-0.33935365
PM0022-C	0.057047646	-0.8998377	0.23469691	-0.03127719	0.07919442	-1.0215243	0.050963566	1.1873631	0.359211	-0.858343
PM0023-C	-1.359397	0.9983027	0.7707897	-2.543939	0.4966299	-1.2801913	0.90769356	0.47800678	0.5114579	0.16108559
PM0024-C	-0.46986765	0.10100033	0.27668336	-1.5283297	-0.35962173	-0.8759342	0.9708338	0.4032313	0.12331058	0.21334487
PM0025-C	-0.06693635	-0.67581946	-0.9214423	-0.16667986	-0.16337541	0.35744873	0.13226637	-0.19246565	-0.32099617	-0.5967887
PM0026-C	-0.4820334	-0.5575582	-0.31090993	-0.030255543	0.14856228	-0.056620784	0.3736785	0.47057775	0.39617392	0.5116682
PM0029-C	-0.658845	0.74905604	0.7822087	-0.422666	-0.7859524	0.011821183	0.59887874	1.2002984	0.10681657	-0.42481044
PM0033-C	-0.35408497	-0.96226734	0.76937824	0.5824478	-0.52204865	0.6580453	0.5526688	0.7551652	-0.9360275	0.46624714
PM0034-C	-0.09230519	0.2617693	-0.036203004	-0.053162336	0.40111554	0.05158744	0.542621	0.006532706	0.1021613	-0.7751465
PM0036-C	-0.4657455	0.0684316	0.10865032	0.37192824	-0.26549637	-0.39487088	0.2879679	0.19388966	-0.80656683	-0.3055135
PM0037-C	-0.6652303	1.2322134	-1.312234	0.26366988	-0.7884723	0.8327974	0.60358024	0.4541285	2.0897238	-0.31396833
PM0038-C	0.12358156	-0.045956746	0.3831559	0.15801713	0.20203461	0.096140504	0.019427387	0.18681498	-0.08349207	0.2211226
PM0039-C	-0.13116562	0.50473005	0.16174197	-0.6015488	0.985778	0.43156698	1.0244701	1.3414692	0.7476501	0.9409779
PM0040-C	-0.1773012	-0.08223735	0.42085165	-1.1860118	-0.5125544	-0.31047067	1.3230113	0.8301037	-0.40022817	0.5168292
PM0042-C	1.6077386	-0.113216855	0.26259756	-0.6683157	-1.3357289	-0.41668978	-0.5799182	0.08155292	0.40037358	-0.038203064
PM0043-C	-0.4555765	-0.24452566	0.6347254	-0.29979286	-0.43047482	0.039286952	0.4637417	0.45325306	-0.31561223	-0.3115231
PM0047-C	0.50515383	-0.36852154	0.9747631	0.59891343	0.34174365	0.54491705	0.5706286	0.8961339	-1.877724	0.28452668
PM0048-C	0.53272307	-0.34680945	-0.67051286	0.14395045	-0.0641065	-0.3870236	0.2947827	0.52214813	-0.50516105	1.0783956
PM0049-C	0.28801683	0.86357224	0.9037161	0.831415	0.32897994	0.13884504	1.8408021	0.5083679	-0.70647955	-0.15459521
PM0051-C	-0.99425924	0.54047763	0.44078925	0.3585262	-0.0127518	0.32675418	-0.06860657	-8.947075E-4	-0.075166635	0.28912315
PM0054-C	-0.11246243	-0.45543534	-0.6825971	-0.06505477	0.20368248	0.16686511	-0.25355348	-0.30988562	0.052889418	-0.45741555
PM0058-C	0.2878124	0.70847875	-0.086863816	0.2843706	-0.051249318	-0.12924528	0.70291793	0.16183878	-0.039063584	0.16219273
PM0060-C	-0.6525579	0.2827628	-0.91715294	0.49177393	-0.6873785	-0.15893912	-0.4152419	0.63171667	0.34765503	0.6141199
PM0062-C	0.31230706	1.9129949	-0.5934612	0.17150731	1.8085515	-0.8802857	0.09649677	-1.2683896	-0.2336633	1.2092019
PM0063-C	-0.2917607	-0.13343811	0.82933056	-1.6839753	0.6507785	1.8558255	1.4036995	0.43542627	-1.3578906	0.13122319
PM0064-C	-0.1594018	0.30791909	-0.4724497	-0.15412375	0.4911085	-0.3490679	-0.035875786	0.4224931	-0.38602102	-0.051127244
PM0068-C	0.037298214	0.21630667	0.76482236	0.42789924	-0.17590858	-0.1764834	-0.21989042	0.38996896	-0.102745175	0.14912224
PM0070-C	-0.5072059	0.25379503	-0.6262579	0.2931688	-0.090798415	0.56059927	-0.5575719	0.14338319	-0.7882483	-0.068414204
PM0071-C	0.023822034	-0.14790106	0.62651736	-0.38593134	-0.10613808	-0.047663536	-0.7463274	-2.0256548	-0.7801124	-0.43566275
PM0072-C	0.22045298	0.04695765	-0.054459196	-0.040850252	0.215347	0.18238148	0.1589109	-0.64465475	-0.33511952	-0.100612566
PM0073-C	0.33092508	0.29255304	-0.15139546	-0.046623122	-0.20324908	-0.027217235	0.060597803	-0.3388851	-0.07857859	-0.032892104
PM0074-C	-0.29808772	-0.34081486	-1.3694166	0.47171217	-0.5793701	-0.22773075	0.521844	0.4911304	0.4342792	-0.33003554
PM0075-C	0.60696787	-0.073381916	0.30591908	0.4814152	0.2592615	-0.13256457	-0.74812496	-0.18496993	-0.10686464	0.4562121
PM0076-C	-0.034993067	-0.6170033	0.42131802	0.10038277	-0.3308404	-0.37467417	-0.7047943	-0.09544255	0.30662853	0.2849115
PM0077-C	-0.25605026	-0.35766548	0.26376063	-0.34341338	-0.13242874	-0.14110407	0.47252828	-0.25819254	0.3589943	0.06536974
PM0078-C	-0.07316472	0.13891366	-0.018901778	-0.10399328	0.0051088952	0.07254794	-0.36752227	-0.48510394	-0.2079959	0.18204063
PM0083-C	-0.25491333	0.22302529	0.038181383	0.17304544	0.17300136	0.21090454	-0.40264708	0.483108	-0.026170384	0.23609056
PM0084-C	-0.9897242	0.116805315	-0.41639462	0.23541747	-0.5498778	0.86400306	-0.5725917	0.08690615	-0.6521542	0.38727084
PM0085-C	0.18788007	0.11824706	0.004346019	0.0653601	0.054177664	0.61018	0.6192785	0.29788905	0.21974866	0.39112246
PM0086-C	0.16300774	-0.118275285	0.27381587	0.9053992	-0.112669736	-0.31352046	0.012078787	-0.7189955	0.7867014	0.1912123
PM0087-C	-0.1676738	0.6340907	-0.672154	0.43264136	0.39259043	-0.25956544	-0.34605765	-0.25606275	-0.23863755	0.517171
PM0089-C	0.5196499	0.1029073	-0.4175663	-0.35580865	0.18094936	-0.8098835	-0.48860106	0.11843226	-0.2123187	-0.24455371
PM0090-C	-0.26880163	-0.123036146	-0.4648314	0.82175404	0.21411648	0.33897382	-1.1092591	-1.8428137	-0.31408998	-1.3768238
PM0093-C	0.06434312	0.80690205	-0.16151254	-0.25543997	0.3387738	-0.62223005	0.87104297	0.1575554	-0.019741228	0.0765922
PM0094-C	0.34676805	0.34743002	0.14282174	0.62312573	0.3489242	0.10535491	-0.81882256	-1.0681952	-0.75944054	-0.21475384
PM0096-C	-0.8533422	0.66782385	1.2213119	-1.2552576	-1.0822736	-0.46691254	-0.6192638	-1.6482949	-1.4556273	1.1171002
