Chromosome	Chr	Start	End	Gene_ID	NewGeneName	GeneName
Pf3D7_01_v3	1	29510	37126	PF3D7_0100100	VAR	VAR
Pf3D7_01_v3	1	38982	40207	PF3D7_0100200	RIF	RIF
Pf3D7_01_v3	1	42367	46507	PF3D7_0100300	VAR	VAR.1
Pf3D7_01_v3	1	50363	51636	PF3D7_0100400	RIF	RIF.1
Pf3D7_01_v3	1	53169	53280	PF3D7_0100500	VAR	VAR.2
Pf3D7_01_v3	1	53778	55006	PF3D7_0100600	RIF	RIF.2
Pf3D7_01_v3	1	56690	56893	PF3D7_0100700	PEP	PEP1
Pf3D7_01_v3	1	59772	61003	PF3D7_0100800	RIF	RIF.3
Pf3D7_01_v3	1	62187	63400	PF3D7_0100900	RIF	RIF.4
Pf3D7_01_v3	1	65817	66989	PF3D7_0101000	RIF	RIF.5
Pf3D7_01_v3	1	69304	70417	PF3D7_0101100	EPF_4	EPF_4
Pf3D7_01_v3	1	71624	72426	PF3D7_0101200	EPF_3	EPF_3
Pf3D7_01_v3	1	74563	75366	PF3D7_0101300	MC-2TM	MC-2TM
Pf3D7_01_v3	1	75982	76809	PF3D7_0101400	EPF1	EPF1
Pf3D7_01_v3	1	78241	79891	PF3D7_0101500	VAR	VAR.3
Pf3D7_01_v3	1	81765	83106	PF3D7_0101600	RIF	RIF.6
Pf3D7_01_v3	1	84791	86152	PF3D7_0101700	VAR	VAR.4
Pf3D7_01_v3	1	87203	88177	PF3D7_0101800	stevor	stevor
Pf3D7_01_v3	1	90242	91420	PF3D7_0101900	RIF	RIF.7
Pf3D7_01_v3	1	93113	93875	PF3D7_0102000	VAR	VAR.5
Pf3D7_01_v3	1	95050	95899	PF3D7_0102100	VAR	VAR.6
Pf3D7_01_v3	1	98819	102282	PF3D7_0102200	RESA	RESA
Pf3D7_01_v3	1	104704	105209	PF3D7_0102300	PEP	PEP1.1
Pf3D7_01_v3	1	107197	108348	PF3D7_0102400	VAR	VAR.7
Pf3D7_01_v3	1	110750	115799	PF3D7_0102500	EBA181	EBA181
Pf3D7_01_v3	1	119041	121249	PF3D7_0102600	FIKK_family	FIKK_family
Pf3D7_01_v3	1	124517	125484	PF3D7_0102700	MaTrA	MaTrA
Pf3D7_01_v3	1	126318	128141	PF3D7_0102800	seipin_DCP	seipin_DCP
Pf3D7_01_v3	1	128960	130840	PF3D7_0102900	AST	AST
Pf3D7_01_v3	1	132086	133624	PF3D7_0103000	VTA1	VTA1
Pf3D7_01_v3	1	134353	139257	PF3D7_0103100	VPS51	VPS51
Pf3D7_01_v3	1	140662	142219	PF3D7_0103200	NT4	NT4
Pf3D7_01_v3	1	143640	146396	PF3D7_0103300	CP	CP1
